Group 1,Group 2,H,p-value,q-value
Brookfield (n=9),Captive (n=12),6.3690347267345455,0.011612874730163477,0.06967724838098087
Brookfield (n=9),Kooloola (n=20),2.5688888888888926,0.10898425631958389,0.16347638447937585
Brookfield (n=9),Wonga (n=22),4.183712121212125,0.04081421181646031,0.08162842363292062
Captive (n=12),Kooloola (n=20),4.418181818181807,0.035557905699921205,0.08162842363292062
Captive (n=12),Wonga (n=22),0.9822929400978178,0.3216333710818057,0.3216333710818057
Kooloola (n=20),Wonga (n=22),1.4311413363783525,0.23157826208824592,0.27789391450589507
