id	GPS	Population	Captive	Warren	Date Collected	Date Extracted	Lot No.	Associated EBC	Notes	faith_pd
W6	"54H 0353762, 6247895"	Wonga	No	Wc	19/06/2019	1/07/2019	1630-11363	EBC5	"C1 from 1600-54007, C4 from 1600-27051"	201.4997805
W7	"54H 0353268, 6248341"	Wonga	No	Wd	19/06/2019	18/07/2019	1600-54007	EBC9		161.6270909
W8	"54H 0353268, 6248341"	Wonga	No	Wd	19/06/2019	11/07/2019	1600-54007	EBC7		186.2944694
W9	"54H 0352609, 6248270"	Wonga	No	We	19/06/2019	24/07/2019		EBC10		193.7463077
W10	"54H 0352609, 6248270"	Wonga	No	We	19/06/2019	11/07/2019	1600-54007	EBC7		197.2471927
W11	"54H 0352609, 6248270"	Wonga	No	We	19/06/2019	25/07/2019		EBC 11		190.9521594
W12	"54H 0352609, 6248270"	Wonga	No	We	19/06/2019	26/07/2019		EBC12		194.0962064
W13	"54H 0352855, 6245075"	Wonga	No	Wf	20/06/2019	11/07/2019	1600-54007	EBC7		226.837325
W14	"54H 0352855, 6245075"	Wonga	No	Wf	20/06/2019	25/07/2019		EBC 11		226.3264973
W18	"54H 0352805, 6245217"	Wonga	No	Wg	20/06/2019	25/07/2019		EBC 11		192.5451762
W16	"54H 0352749, 6245309"	Wonga	No	Wh	20/06/2019	24/07/2019		EBC10		180.2101382
W17	"54H 0352749, 6245309"	Wonga	No	Wh	20/06/2019	25/07/2019		EBC 11		202.8613097
W19	"54H 0352233, 6246650"	Wonga	No	Wi	20/06/2019	24/07/2019		EBC10		214.4380382
W20	"54H 0352233, 6246650"	Wonga	No	Wi	20/06/2019	25/07/2019		EBC 11		198.649308
W21	"54H 0352574, 6248951"	Wonga	No	Wj	20/06/2019	24/07/2019		EBC10		184.3856679
W22	"54H 0352574, 6248951"	Wonga	No	Wj	20/06/2019	26/07/2019		EBC12		200.1183939
W23	"54H 0352404, 6248911"	Wonga	No	Wk	20/06/2019	26/07/2019		EBC12		178.0057732
